Reporte:,Detalle de facturas de grupos de locales,,,,,,,,,,,,
Periodo:,01 de agosto de 2024 al 31 de agosto de 2024,,,,,,,,,,,,
,,,,,,,,,,,,,
Nombre Local,ID Factura,Fecha Fin Transaccion,Codigo Interno del Producto,Codigo producto (Elemetrica),Descripcion del Producto,Descripcion de la Categoria,Categoria 2,Subtotal,Descuentos,Impuestos,Total,Unidades Vendidas,Precio
Restaurant 2,20240801_102412_V11G,1/8/24 18:45,3186,casacasco02-845854d65a4841e5_3186_9ce0f1be72ce6453,Tacos Cobia estilo Jerk,Principales,TERRAZA,16,0,1.12,17.12,1,16
Restaurant 2,20240801_102408_V11G,1/8/24 18:45,1008,casacasco02-845854d65a4841e5_1008_53d28ec430e11798,Marques C Verd Copa, Bebidas Alcoholicas, VINO BLANCO,18,0,1.26,19.26,2,9
Restaurant 2,20240801_102408_V11G,1/8/24 18:45,1094,casacasco02-845854d65a4841e5_1094_bc932d0392cd311d,Macal Oak 12 Trago, Bebidas Alcoholicas, WHISKY,15,0,1.05,16.05,1,15
Restaurant 1,20240801_283563_V10G,1/8/24 18:52,10300011,casacasco01-5d78e012c5714e63_10300011_4b5f439b677bd18d,Havana Club 3 anos Trago, Bebidas Alcoholicas, RON,9,0,0.63,9.63,1,9
Restaurant 1,20240801_283566_V10G,1/8/24 18:53,1901,casacasco01-5d78e012c5714e63_1901_74f409587b06ba8f,Mini Panino Salmon Ahumado,Entrantes,TERRAZA,28,0,1.96,29.96,2,14
Restaurant 1,20240801_283566_V10G,1/8/24 18:53,2049,casacasco01-5d78e012c5714e63_2049_48d08f56eac79904,The Traveler, Bebidas Alcoholicas, HOUSE COCKTAILS,26,0,1.82,27.82,2,13
Restaurant 1,20240801_283566_V10G,1/8/24 18:53,3209,casacasco01-5d78e012c5714e63_3209_0e6867eed4b8a5c0,Sous y Patacon,Principales,TERRAZA,24,0,1.68,25.68,2,12
Restaurant 1,20240801_283566_V10G,1/8/24 18:53,1560,casacasco01-5d78e012c5714e63_1560_40c45b753bb3be9b,Nigiri 3 Tiempos,Principales,TERRAZA,15,0,1.05,16.05,1,15
Restaurant 1,20240801_283566_V10G,1/8/24 18:53,3204,casacasco01-5d78e012c5714e63_3204_7f6d6ff93fafa480,Empanaditas Ropa Vieja,Entrantes,TERRAZA,15,0,1.05,16.05,1,15
Restaurant 1,20240801_283566_V10G,1/8/24 18:53,3183,casacasco01-5d78e012c5714e63_3183_cd62c84fb089ccb5,Tequenos salsa Tomillo y Aji,Entrantes,TERRAZA,14,0,0.98,14.98,1,14
Restaurant 1,20240801_283566_V10G,1/8/24 18:53,11100029,casacasco01-5d78e012c5714e63_11100029_a243504ef0b53838,Paixao Sour, Bebidas Alcoholicas, HOUSE COCKTAILS,13.5,0,0.95,14.45,1,13.5
Restaurant 1,20240801_283566_V10G,1/8/24 18:53,10120001,casacasco01-5d78e012c5714e63_10120001_08b9646584cd93c5,Mojito Clasico, Bebidas Alcoholicas, MOJITOS,12.5,0,0.88,13.38,1,12.5
Restaurant 1,20240801_283566_V10G,1/8/24 18:53,11100014,casacasco01-5d78e012c5714e63_11100014_2e3a885c3d17d465,Aperol Spritz, Bebidas Alcoholicas, COCTELES CLASICOS,12.5,0,0.88,13.38,1,12.5
Restaurant 1,20240801_283566_V10G,1/8/24 18:53,10500015,casacasco01-5d78e012c5714e63_10500015_4f2c5b64c7e2fdcc,Hendricks Trago, Bebidas Alcoholicas, GINEBRA,12,0,0.84,12.84,1,12
Restaurant 1,20240801_283566_V10G,1/8/24 18:53,1046,casacasco01-5d78e012c5714e63_1046_94854b99449a4959,Dona Paula Cardos Malbec Copa, Bebidas Alcoholicas, VINO TINTO,8,0,0.56,8.56,1,8
Restaurant 1,20240801_283566_V10G,1/8/24 18:53,1759,casacasco01-5d78e012c5714e63_1759_70b572bcd1a9818b,Casco Flower, Bebidas No Alcoholicas, MOCKTAILS,6.5,0,0.46,6.96,1,6.5
Restaurant 1,20240801_283566_V10G,1/8/24 18:53,21500003,casacasco01-5d78e012c5714e63_21500003_58847228b3f68369,Agua Panama Blue 500 ml, Bebidas No Alcoholicas, AGUA,5,0,0.35,5.35,1,5
Restaurant 1,20240801_283566_V10G,1/8/24 18:53,21600004,casacasco01-5d78e012c5714e63_21600004_f181f7f5d3ae33bb,Coca Zero 354ML, Bebidas No Alcoholicas, SODA,3.5,0,0.25,3.75,1,3.5
Restaurant 1,20240801_283584_V10G,1/8/24 18:58,11100021,casacasco01-5d78e012c5714e63_11100021_eccdb5b2cc238d5e,Bloody Mary, Bebidas Alcoholicas, COCTELES CLASICOS,50,0,3.5,53.5,4,12.5
Restaurant 1,20240801_283584_V10G,1/8/24 18:58,1008,casacasco01-5d78e012c5714e63_1008_53d28ec430e11798,Marques C Verd Copa, Bebidas Alcoholicas, VINO BLANCO,45,0,3.15,48.15,5,9
Restaurant 1,20240801_283584_V10G,1/8/24 18:58,10120001,casacasco01-5d78e012c5714e63_10120001_08b9646584cd93c5,Mojito Clasico, Bebidas Alcoholicas, MOJITOS,37.5,0,2.63,40.13,3,12.5
Restaurant 1,20240801_283584_V10G,1/8/24 18:58,21500003,casacasco01-5d78e012c5714e63_21500003_58847228b3f68369,Agua Panama Blue 500 ml, Bebidas No Alcoholicas, AGUA,30,0,2.1,32.1,6,5
Restaurant 1,20240801_283584_V10G,1/8/24 18:58,2426,casacasco01-5d78e012c5714e63_2426_f53d0b1ff8387074,Ko Asian Maki,Principales,TERRAZA,14,0,0.98,14.98,1,14
Restaurant 1,20240801_283584_V10G,1/8/24 18:58,52500003,casacasco01-5d78e012c5714e63_52500003_9b5265fde0644912,Passion Rolls,Principales,TERRAZA,14,0,0.98,14.98,1,14
